##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	22_3H_both_S16_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4050899
Sequences flagged as poor quality	0
Sequence length	101
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.222923109166633	32.0	32.0	32.0	32.0	32.0
2	31.49547372077161	32.0	32.0	32.0	32.0	32.0
3	35.169197750919	37.0	32.0	37.0	32.0	37.0
4	35.87730723476443	37.0	37.0	37.0	32.0	37.0
5	36.05591277392993	37.0	37.0	37.0	37.0	37.0
6	39.5506106175444	41.0	41.0	41.0	37.0	41.0
7	39.77021841324605	41.0	41.0	41.0	37.0	41.0
8	39.70922479183016	41.0	41.0	41.0	37.0	41.0
9	39.98892369323451	41.0	41.0	41.0	37.0	41.0
10-11	40.08925055895	41.0	41.0	41.0	37.0	41.0
12-13	40.118363355887176	41.0	41.0	41.0	37.0	41.0
14-15	40.1063589835244	41.0	41.0	41.0	37.0	41.0
16-17	40.05642895564664	41.0	41.0	41.0	37.0	41.0
18-19	40.047715087441084	41.0	41.0	41.0	37.0	41.0
20-21	40.03612247552951	41.0	41.0	41.0	37.0	41.0
22-23	40.04595387344884	41.0	41.0	41.0	37.0	41.0
24-25	40.0370912728261	41.0	41.0	41.0	37.0	41.0
26-27	39.97633019238445	41.0	41.0	41.0	37.0	41.0
28-29	39.946740464277184	41.0	41.0	41.0	37.0	41.0
30-31	39.91773702578119	41.0	41.0	41.0	37.0	41.0
32-33	39.919985662441846	41.0	41.0	41.0	37.0	41.0
34-35	39.961785519708094	41.0	41.0	41.0	37.0	41.0
36-37	39.96032226426776	41.0	41.0	41.0	37.0	41.0
38-39	39.94292328690496	41.0	41.0	41.0	37.0	41.0
40-41	39.93504676369369	41.0	41.0	41.0	37.0	41.0
42-43	39.9195851340653	41.0	41.0	41.0	37.0	41.0
44-45	39.874970222659215	41.0	41.0	41.0	37.0	41.0
46-47	39.873302691575375	41.0	41.0	41.0	37.0	41.0
48-49	39.87135349461934	41.0	41.0	41.0	37.0	41.0
50-51	39.865383585223924	41.0	41.0	41.0	37.0	41.0
52-53	39.82176993304449	41.0	41.0	41.0	37.0	41.0
54-55	39.820503053766586	41.0	41.0	41.0	37.0	41.0
56-57	39.79926455831162	41.0	41.0	41.0	37.0	41.0
58-59	39.78767182297065	41.0	41.0	41.0	37.0	41.0
60-61	39.764344655346875	41.0	41.0	41.0	37.0	41.0
62-63	39.728092702385325	41.0	41.0	41.0	37.0	41.0
64-65	39.720749270717434	41.0	41.0	41.0	37.0	41.0
66-67	39.69811651685219	41.0	41.0	41.0	37.0	41.0
68-69	39.67915998399368	41.0	41.0	41.0	37.0	41.0
70-71	39.593691054751055	41.0	41.0	41.0	37.0	41.0
72-73	39.597552296416175	41.0	41.0	41.0	37.0	41.0
74-75	39.56869487489074	41.0	41.0	41.0	37.0	41.0
76-77	39.198510503470956	41.0	41.0	41.0	34.5	41.0
78-79	39.295522919727205	41.0	41.0	41.0	37.0	41.0
80-81	39.445878186545755	41.0	41.0	41.0	37.0	41.0
82-83	39.49045520512854	41.0	41.0	41.0	37.0	41.0
84-85	39.45521043600445	41.0	41.0	41.0	37.0	41.0
86-87	39.42090879086346	41.0	41.0	41.0	37.0	41.0
88-89	39.275589813520405	41.0	41.0	41.0	37.0	41.0
90-91	39.29634668748838	41.0	41.0	41.0	37.0	41.0
92-93	39.233079990392255	41.0	41.0	41.0	37.0	41.0
94-95	39.14971022481676	41.0	41.0	41.0	37.0	41.0
96-97	39.130804174579524	41.0	41.0	41.0	37.0	41.0
98-99	38.92872471024333	41.0	41.0	41.0	32.0	41.0
100-101	38.463280619931524	41.0	39.0	41.0	34.5	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.32804783351689437
1101	2	-0.051569817408854135
1101	3	-0.3923895753453621
1101	4	-0.2395947268177423
1101	5	0.10911790874061467
1101	6	-0.22707358734431438
1101	7	-0.16281160202051126
1101	8	-0.15256241998829267
1101	9	-0.021342663520613314
1101	10-11	-0.02126487012165512
1101	12-13	-0.012215990229755391
1101	14-15	-0.06402408616239796
1101	16-17	-0.06404704503359682
1101	18-19	0.008168707609819137
1101	20-21	-0.05719187044876861
1101	22-23	-0.019569723721026833
1101	24-25	-0.04977078225810061
1101	26-27	0.05696489284209605
1101	28-29	-0.03433550361246773
1101	30-31	-0.09923999634873581
1101	32-33	-0.06926825088986277
1101	34-35	-0.07094354290200755
1101	36-37	-0.10575672510898215
1101	38-39	-0.14193043154050855
1101	40-41	-0.08385126122081488
1101	42-43	-0.1389984427817339
1101	44-45	-0.031190157552522635
1101	46-47	-0.05879413236766595
1101	48-49	-0.18024963619600243
1101	50-51	-0.06194056784566726
1101	52-53	-0.0152383969931833
1101	54-55	-0.07518145480087668
1101	56-57	-0.13749670025394067
1101	58-59	-0.13996009919954133
1101	60-61	-0.10319571961908025
1101	62-63	-0.11388601584855707
1101	64-65	-0.08924196452974087
1101	66-67	-0.019508735786246234
1101	68-69	-0.07716628975306605
1101	70-71	0.007530012461302249
1101	72-73	-1.7493672347512756E-4
1101	74-75	0.02534292019117146
1101	76-77	-0.0302789711294551
1101	78-79	0.007940384731824679
1101	80-81	0.06765718629419126
1101	82-83	0.070002493180219
1101	84-85	0.044997549070110665
1101	86-87	-0.07815779745914142
1101	88-89	0.11337924590159787
1101	90-91	0.10672481726093253
1101	92-93	0.20140903422698386
1101	94-95	0.23746222607338296
1101	96-97	0.024047728460310225
1101	98-99	0.23463066444021763
1101	100-101	0.209088885095575
1102	1	-0.17314150983335352
1102	2	-0.13578989561936083
1102	3	-0.3398611516837562
1102	4	-0.23248237533370997
1102	5	-0.0047219818144768055
1102	6	-0.08385111652494004
1102	7	0.06494833233221442
1102	8	-0.011587621305110929
1102	9	0.023758251947761266
1102	10-11	0.05513058399833426
1102	12-13	0.03158564348238002
1102	14-15	0.03678344815018164
1102	16-17	0.054317507590653236
1102	18-19	0.0750197779668369
1102	20-21	0.08341040393598576
1102	22-23	0.09364903684087267
1102	24-25	0.07600210479714065
1102	26-27	0.09985832806867023
1102	28-29	0.06731848121789596
1102	30-31	0.09442699067474081
1102	32-33	0.0307880100774085
1102	34-35	-0.017312224455714897
1102	36-37	0.0885656280242273
1102	38-39	-0.014664334917348754
1102	40-41	0.0669603307055695
1102	42-43	-0.0085990690682749
1102	44-45	0.027144918966548914
1102	46-47	0.09990006602843948
1102	48-49	0.11697910578848791
1102	50-51	0.0982393473655776
1102	52-53	0.022850454605276127
1102	54-55	0.013218311455979403
1102	56-57	0.011486198901899058
1102	58-59	-0.00883957684938963
1102	60-61	0.044582537011770285
1102	62-63	0.10991190453214728
1102	64-65	0.024044730324021657
1102	66-67	0.10792316200738128
1102	68-69	0.046606685524537284
1102	70-71	0.10278641599836646
1102	72-73	0.07295217863433123
1102	74-75	0.08356061025003214
1102	76-77	0.13885620535445753
1102	78-79	0.16437323191487252
1102	80-81	0.23566533748703478
1102	82-83	0.12029066060966187
1102	84-85	0.15604756115841667
1102	86-87	0.14841916571509017
1102	88-89	0.2976237696983475
1102	90-91	0.26422194273356325
1102	92-93	0.2869778079377028
1102	94-95	0.36604216729023875
1102	96-97	0.3475364171701685
1102	98-99	0.5303892130563526
1102	100-101	0.4302924686448364
1103	1	-0.22198504743169067
1103	2	-0.01678618637977536
1103	3	-0.33522703569472867
1103	4	-0.15242051523893707
1103	5	0.06797051819563649
1103	6	0.018001870956133814
1103	7	0.1722547361279183
1103	8	-0.06473274768117676
1103	9	0.001582857583670716
1103	10-11	-0.014592120803904152
1103	12-13	0.03009327693241204
1103	14-15	0.04282595652400545
1103	16-17	0.05915540038795797
