##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	22_3H_both_S16_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4050899
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.5615005459282	32.0	32.0	32.0	32.0	32.0
2	30.981481641482546	32.0	32.0	32.0	32.0	32.0
3	34.12816463703489	37.0	32.0	37.0	32.0	37.0
4	34.81023175349472	37.0	37.0	37.0	32.0	37.0
5	35.35224032986258	37.0	37.0	37.0	32.0	37.0
6	38.31130867493857	41.0	37.0	41.0	32.0	41.0
7	38.44838565464111	41.0	41.0	41.0	32.0	41.0
8	38.57174666660413	41.0	41.0	41.0	32.0	41.0
9	38.74398695203213	41.0	41.0	41.0	32.0	41.0
10-11	38.67242567637455	41.0	41.0	41.0	32.0	41.0
12-13	38.72763045931286	41.0	41.0	41.0	32.0	41.0
14-15	38.65021875391117	41.0	41.0	41.0	32.0	41.0
16-17	38.41224762700823	41.0	41.0	41.0	32.0	41.0
18-19	38.49592263346976	41.0	41.0	41.0	32.0	41.0
20-21	38.448332703432	41.0	41.0	41.0	32.0	41.0
22-23	38.468770759280844	41.0	41.0	41.0	32.0	41.0
24-25	38.54460195131994	41.0	41.0	41.0	32.0	41.0
26-27	38.53542448231862	41.0	41.0	41.0	32.0	41.0
28-29	38.53536671736323	41.0	41.0	41.0	32.0	41.0
30-31	38.46079228339191	41.0	41.0	41.0	32.0	41.0
32-33	38.06442446479164	41.0	41.0	41.0	29.5	41.0
34-35	37.80485751434435	41.0	37.0	41.0	27.0	41.0
36-37	37.648987422298106	41.0	37.0	41.0	27.0	41.0
38-39	37.58710190009674	41.0	37.0	41.0	27.0	41.0
40-41	37.9740634116032	41.0	39.0	41.0	29.5	41.0
42-43	38.194257126627946	41.0	41.0	41.0	32.0	41.0
44-45	38.33953154596054	41.0	41.0	41.0	32.0	41.0
46-47	38.33555193550863	41.0	41.0	41.0	32.0	41.0
48-49	38.29709220101513	41.0	41.0	41.0	32.0	41.0
50-51	38.28819812589749	41.0	41.0	41.0	32.0	41.0
52-53	38.34273959928401	41.0	41.0	41.0	32.0	41.0
54-55	38.15842261186961	41.0	41.0	41.0	32.0	41.0
56-57	38.25723314750627	41.0	41.0	41.0	32.0	41.0
58-59	38.17215314427736	41.0	41.0	41.0	32.0	41.0
60-61	38.07841000232294	41.0	41.0	41.0	32.0	41.0
62-63	38.11942497208645	41.0	41.0	41.0	32.0	41.0
64-65	38.06016220103241	41.0	41.0	41.0	32.0	41.0
66-67	38.03265114731323	41.0	41.0	41.0	32.0	41.0
68-69	37.93936605183195	41.0	39.0	41.0	29.5	41.0
70-71	37.96124057894309	41.0	37.0	41.0	32.0	41.0
72-73	37.86018041921065	41.0	37.0	41.0	27.0	41.0
74-75	37.836703902022734	41.0	37.0	41.0	27.0	41.0
76-77	37.26171499215359	41.0	37.0	41.0	27.0	41.0
78-79	37.41320568594774	41.0	37.0	41.0	27.0	41.0
80-81	37.80420901631959	41.0	37.0	41.0	27.0	41.0
82-83	37.89208901530253	41.0	37.0	41.0	27.0	41.0
84-85	37.77856902875139	41.0	37.0	41.0	27.0	41.0
86-87	37.71272623681805	41.0	37.0	41.0	27.0	41.0
88-89	37.67480823392536	41.0	37.0	41.0	27.0	41.0
90-91	37.56664162695738	41.0	37.0	41.0	27.0	41.0
92-93	37.448074118856084	41.0	37.0	41.0	27.0	41.0
94-95	37.29526816146243	41.0	37.0	41.0	27.0	41.0
96-97	37.23063868045093	41.0	37.0	41.0	27.0	41.0
98-99	37.0380858668656	41.0	37.0	41.0	24.5	41.0
100-101	36.008103633292265	41.0	34.5	41.0	24.5	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.6387225056761636
1101	2	-0.8140713793206444
1101	3	-1.4003185582597268
1101	4	-1.2140476320956708
1101	5	-1.2119612039238419
1101	6	-1.7624761366190214
1101	7	-0.8741897461578887
1101	8	-0.48429866408939404
1101	9	-0.21190204958315917
1101	10-11	-0.3228375580376692
1101	12-13	-0.30381355703332247
1101	14-15	-0.2042074312529536
1101	16-17	-0.19845205305033886
1101	18-19	-0.18053135417616772
1101	20-21	-0.16626395725748466
1101	22-23	-0.1702198011750795
1101	24-25	-0.18059475666311187
1101	26-27	-0.2008638855645586
1101	28-29	-0.38205695617870816
1101	30-31	-0.2782775811620297
1101	32-33	0.05352260372679751
1101	34-35	-0.23453723048234565
1101	36-37	-0.14470740570779128
1101	38-39	-0.390001047022956
1101	40-41	-0.46015787902885563
1101	42-43	-0.2963924238673883
1101	44-45	-0.30675562950617064
1101	46-47	-0.20037257636488448
1101	48-49	-0.07878915790968222
1101	50-51	0.033327622142905966
1101	52-53	-0.15796288334810527
1101	54-55	0.02404235999799198
1101	56-57	-0.2719974761051773
1101	58-59	-0.17507727048403154
1101	60-61	-0.09579578501227104
1101	62-63	-0.3022245269606785
1101	64-65	-0.3807530492557589
1101	66-67	-0.23634420183462623
1101	68-69	-0.21788201403374075
1101	70-71	-0.2534008128751353
1101	72-73	-0.25565767011375584
1101	74-75	-0.28489494934985515
1101	76-77	-0.43130597875354937
1101	78-79	-0.1663618961419715
1101	80-81	-0.2415507977654059
1101	82-83	-0.3064425388740659
1101	84-85	-0.21207087332526697
1101	86-87	-0.30561442580314235
1101	88-89	-0.36864748654033974
1101	90-91	-0.36206591476981487
1101	92-93	-0.4904339274011633
1101	94-95	-0.39567196760776113
1101	96-97	-0.19071392746946714
1101	98-99	-0.30964565350013373
1101	100-101	-0.42661630476450085
1102	1	-0.7210109906446256
1102	2	-0.7162848076554234
1102	3	-1.5651529714972625
1102	4	-1.4028296517022412
1102	5	-1.2447091444927096
1102	6	-1.716530038637174
1102	7	-1.52977702658373
1102	8	-0.9507103824780856
1102	9	-0.5976542458819054
1102	10-11	-0.40842177834642257
1102	12-13	-0.3259079558817035
1102	14-15	-0.4414501935227406
1102	16-17	-0.4154073994714267
1102	18-19	-0.5318679536836868
1102	20-21	-0.44123338298371095
1102	22-23	-0.46687056373750124
1102	24-25	-0.29397524541192155
1102	26-27	-0.30814143111395964
1102	28-29	-0.35059715429785143
1102	30-31	-0.31542038626730573
1102	32-33	-0.1620078516619614
1102	34-35	-0.3975121346020032
1102	36-37	-0.4676196903948977
1102	38-39	-0.43510161667196456
1102	40-41	-0.4378834619919161
1102	42-43	-0.4709316810504802
1102	44-45	-0.42651122128992824
1102	46-47	-0.3694944964400406
1102	48-49	-0.31240711850687575
1102	50-51	-0.19944588600390745
1102	52-53	-0.3411789403711083
1102	54-55	-0.10850520514937756
1102	56-57	-0.2917315425550555
1102	58-59	-0.29055914978015807
1102	60-61	-0.19421666623070166
1102	62-63	-0.3897063349411738
1102	64-65	-0.23771820465083948
1102	66-67	-0.1949562335510251
1102	68-69	-0.29873957534328355
1102	70-71	-0.32207408228363477
1102	72-73	-0.29787426000596184
1102	74-75	-0.259230273014488
1102	76-77	-0.622599146423525
1102	78-79	-0.23388746794659454
1102	80-81	-0.3239753434394572
1102	82-83	-0.4303650233878926
1102	84-85	-0.26799743328181336
1102	86-87	-0.3373322089258366
1102	88-89	-0.3947681449127671
1102	90-91	-0.3727126553762474
1102	92-93	-0.39440119782744176
1102	94-95	-0.3798350163635291
1102	96-97	-0.4113476007150467
1102	98-99	-0.2988850230514615
1102	100-101	-0.417393955673532
1103	1	-0.937577105455393
1103	2	-0.7805533099381883
1103	3	-1.5936974487526498
1103	4	-1.3984650916602277
1103	5	-1.4264561186148939
1103	6	-1.5535925287440975
1103	7	-1.8105930742675795
1103	8	-1.5260623514120581
1103	9	-0.8773084325574914
